timestamp,user,app,metric1,metric2
2018-01-02 00:00:00,user1,app1,10.000,37.000
2018-01-02 00:30:00,user1,app1,67.000,7.000
2018-01-02 01:00:00,user1,app1,19.000,40.000
2018-01-02 01:30:00,user1,app1,10.000,84.000
2018-01-02 02:00:00,user1,app1,58.000,30.000
2018-01-02 02:30:00,user1,app1,9.000,90.000
2018-01-02 03:00:00,user1,app1,41.000,21.000
2018-01-02 03:30:00,user1,app1,5.000,60.000
2018-01-02 04:00:00,user1,app1,58.000,24.000
2018-01-02 04:30:00,user1,app1,33.000,17.000
2018-01-02 05:00:00,user1,app1,65.000,60.000
2018-01-02 05:30:00,user1,app1,57.000,9.000
2018-01-02 06:00:00,user1,app1,32.000,80.000
2018-01-02 06:30:00,user1,app1,31.000,4.000
2018-01-02 07:00:00,user1,app1,95.000,56.000
2018-01-02 07:30:00,user1,app1,59.000,85.000
2018-01-02 08:00:00,user1,app1,33.000,42.000
2018-01-02 08:30:00,user1,app1,90.000,62.000
2018-01-02 09:00:00,user1,app1,81.000,61.000
2018-01-02 09:30:00,user1,app1,22.000,21.000
2018-01-02 10:00:00,user1,app1,61.000,64.000
2018-01-02 10:30:00,user1,app1,45.000,88.000
2018-01-02 11:00:00,user1,app1,48.000,74.000
2018-01-02 11:30:00,user1,app1,12.000,20.000
2018-01-02 12:00:00,user1,app1,1.000,77.000
2018-01-02 12:30:00,user1,app1,57.000,94.000
2018-01-02 13:00:00,user1,app1,25.000,36.000
2018-01-02 13:30:00,user1,app1,7.000,99.000
2018-01-02 14:00:00,user1,app1,24.000,96.000
2018-01-02 14:30:00,user1,app1,28.000,48.000
2018-01-02 15:00:00,user1,app1,33.000,77.000
2018-01-02 15:30:00,user1,app1,24.000,32.000
2018-01-02 16:00:00,user1,app1,85.000,77.000
2018-01-02 16:30:00,user1,app1,39.000,76.000
2018-01-02 17:00:00,user1,app1,61.000,12.000
2018-01-02 17:30:00,user1,app1,67.000,94.000
2018-01-02 18:00:00,user1,app1,56.000,78.000
2018-01-02 18:30:00,user1,app1,82.000,57.000
2018-01-02 19:00:00,user1,app1,22.000,50.000
2018-01-02 19:30:00,user1,app1,5.000,25.000
2018-01-02 20:00:00,user1,app1,83.000,90.000
2018-01-02 20:30:00,user1,app1,47.000,26.000
2018-01-02 21:00:00,user1,app1,46.000,48.000
2018-01-02 21:30:00,user1,app1,34.000,7.000
2018-01-02 22:00:00,user1,app1,13.000,56.000
2018-01-02 22:30:00,user1,app1,86.000,62.000
2018-01-02 23:00:00,user1,app1,63.000,51.000
2018-01-02 23:30:00,user1,app1,52.000,83.000
2018-01-02 00:00:00,user1,app2,92.000,45.000
2018-01-02 00:30:00,user1,app2,24.000,91.000
2018-01-02 01:00:00,user1,app2,9.000,24.000
2018-01-02 01:30:00,user1,app2,42.000,72.000
2018-01-02 02:00:00,user1,app2,99.000,94.000
2018-01-02 02:30:00,user1,app2,68.000,25.000
2018-01-02 03:00:00,user1,app2,98.000,97.000
2018-01-02 03:30:00,user1,app2,2.000,53.000
2018-01-02 04:00:00,user1,app2,62.000,93.000
2018-01-02 04:30:00,user1,app2,70.000,14.000
2018-01-02 05:00:00,user1,app2,37.000,10.000
2018-01-02 05:30:00,user1,app2,70.000,57.000
2018-01-02 06:00:00,user1,app2,55.000,13.000
2018-01-02 06:30:00,user1,app2,77.000,49.000
2018-01-02 07:00:00,user1,app2,85.000,58.000
2018-01-02 07:30:00,user1,app2,37.000,14.000
